ingredient,density
cooked shrimp,0.72
cooking oil,0.948
cranberries,0.424
cream,0.98
dashi powder,0.3
doenjang (korean soybean paste),1.352
doubanjiang (fermented chili bean paste),1.016
dried apricots,0.556
dried chili peppers,0.272
dried mangoes,0.556
firm tofu,1.064
frozen vegetable mix,0.572
garlic - minced,1.016
gochujang (korean red chili paste),1.016
grapes,0.64
green bell pepper,0.5
honeydew melon,0.748
hot sauce,1.016
instant coffee,0.204
kimchi juice,1.016
mango,0.696
margerine,0.96
milk - one percent,1.03
raw cashews - whole,0.54
red lentils,0.592
rice vinegar - white,1.004
short-grain white rice,0.844
short-grain white rice - cooked,0.868
soy sauce - low sodium,1.076
soy sauce low-sodium,1.076
sugar - white,1.58
white or button mushrooms,0.296
white rice - cooked,0.768
wood ear mushrooms,0.084
yellow miso paste,1.016
